datetime,pm10,pm2_5,serial_number
2022-06-24 22:00:00,8.37,4.14,0110-000180-000000
2022-06-25 00:00:00,3.66,0.45,0110-000180-000000
2022-06-25 01:00:00,1.0,0.57,0110-000180-000000
2022-06-25 02:00:00,2.43,0.62,0110-000180-000000
2022-06-25 03:00:00,1.15,0.97,0110-000180-000000
2022-06-25 04:00:00,7.05,1.31,0110-000180-000000
2022-06-25 05:00:00,2.67,1.46,0110-000180-000000
2022-06-25 06:00:00,5.87,2.77,0110-000180-000000
2022-06-25 07:00:00,2.58,1.67,0110-000180-000000
2022-06-25 08:00:00,7.49,3.14,0110-000180-000000
2022-06-25 09:00:00,7.58,2.66,0110-000180-000000
2022-06-25 10:00:00,5.19,3.16,0110-000180-000000
2022-06-25 11:00:00,8.55,2.81,0110-000180-000000
2022-06-25 12:00:00,5.71,2.42,0110-000180-000000
2022-06-25 13:00:00,10.65,2.85,0110-000180-000000
2022-06-25 14:00:00,4.61,2.61,0110-000180-000000
2022-06-25 15:00:00,4.57,1.92,0110-000180-000000
2022-06-25 16:00:00,6.07,2.3,0110-000180-000000
2022-06-25 17:00:00,5.64,2.37,0110-000180-000000
2022-06-25 18:00:00,4.5,2.97,0110-000180-000000
2022-06-25 19:00:00,4.33,2.76,0110-000180-000000
2022-06-25 20:00:00,3.45,2.3,0110-000180-000000
2022-06-25 21:00:00,31.05,28.47,0110-000180-000000
2022-06-25 22:00:00,3.9,2.81,0110-000180-000000
2022-06-26 00:00:00,3.05,2.48,0110-000180-000000
2022-06-26 01:00:00,3.9,0.91,0110-000180-000000
2022-06-26 02:00:00,0.24,0.23,0110-000180-000000
2022-06-26 03:00:00,0.85,0.75,0110-000180-000000
2022-06-26 04:00:00,0.55,0.51,0110-000180-000000
2022-06-26 05:00:00,0.63,0.49,0110-000180-000000
2022-06-26 06:00:00,0.59,0.51,0110-000180-000000
2022-06-26 07:00:00,1.44,0.91,0110-000180-000000
2022-06-26 08:00:00,1.85,0.9,0110-000180-000000
2022-06-26 09:00:00,1.15,0.92,0110-000180-000000
2022-06-26 10:00:00,2.77,1.21,0110-000180-000000
2022-06-26 11:00:00,5.62,1.29,0110-000180-000000
2022-06-26 12:00:00,1.33,0.9,0110-000180-000000
2022-06-26 13:00:00,0.53,0.5,0110-000180-000000
2022-06-26 14:00:00,6.47,1.98,0110-000180-000000
2022-06-26 15:00:00,2.5,1.55,0110-000180-000000
2022-06-26 16:00:00,2.8,2.09,0110-000180-000000
2022-06-26 17:00:00,11.8,4.33,0110-000180-000000
2022-06-26 18:00:00,12.83,4.54,0110-000180-000000
2022-06-26 19:00:00,4.64,3.17,0110-000180-000000
2022-06-26 20:00:00,3.85,2.9,0110-000180-000000
2022-06-26 21:00:00,3.95,2.59,0110-000180-000000
2022-06-26 22:00:00,4.77,3.13,0110-000180-000000
2022-06-27 00:00:00,8.37,3.63,0110-000180-000000
2022-06-27 01:00:00,4.69,2.76,0110-000180-000000
2022-06-27 02:00:00,9.88,3.89,0110-000180-000000
2022-06-27 03:00:00,13.3,5.91,0110-000180-000000
2022-06-27 04:00:00,15.67,6.17,0110-000180-000000
2022-06-27 05:00:00,10.87,5.18,0110-000180-000000
2022-06-27 06:00:00,12.28,4.92,0110-000180-000000
2022-06-27 07:00:00,10.73,4.62,0110-000180-000000
2022-06-27 08:00:00,14.98,5.1,0110-000180-000000
2022-06-27 09:00:00,10.53,3.99,0110-000180-000000
2022-06-27 10:00:00,7.56,3.86,0110-000180-000000
2022-06-27 11:00:00,5.59,3.5,0110-000180-000000
2022-06-27 12:00:00,8.44,2.55,0110-000180-000000
2022-06-27 13:00:00,8.21,5.03,0110-000180-000000
2022-06-27 14:00:00,9.1,2.7,0110-000180-000000
2022-06-27 15:00:00,13.21,4.96,0110-000180-000000
2022-06-27 16:00:00,12.21,5.18,0110-000180-000000
2022-06-27 17:00:00,10.57,5.86,0110-000180-000000
2022-06-27 18:00:00,16.13,6.43,0110-000180-000000
2022-06-27 19:00:00,13.18,6.67,0110-000180-000000
2022-06-27 20:00:00,14.54,6.41,0110-000180-000000
2022-06-27 21:00:00,13.87,6.72,0110-000180-000000
2022-06-27 22:00:00,17.24,6.94,0110-000180-000000
2022-06-28 00:00:00,14.51,5.87,0110-000180-000000
2022-06-28 01:00:00,11.18,4.01,0110-000180-000000
2022-06-28 02:00:00,4.09,2.22,0110-000180-000000
2022-06-28 03:00:00,2.77,1.97,0110-000180-000000
2022-06-28 04:00:00,1.75,1.29,0110-000180-000000
2022-06-28 05:00:00,1.23,0.98,0110-000180-000000
2022-06-28 06:00:00,0.88,0.54,0110-000180-000000
2022-06-28 07:00:00,1.11,0.72,0110-000180-000000
2022-06-28 08:00:00,0.56,0.39,0110-000180-000000
2022-06-28 09:00:00,1.22,0.56,0110-000180-000000
2022-06-28 10:00:00,5.07,2.03,0110-000180-000000
2022-06-28 11:00:00,8.9,2.14,0110-000180-000000
2022-06-28 12:00:00,14.97,5.76,0110-000180-000000
2022-06-28 13:00:00,14.14,6.61,0110-000180-000000
2022-06-28 14:00:00,10.47,5.28,0110-000180-000000
2022-06-28 15:00:00,15.54,6.02,0110-000180-000000
2022-06-28 16:00:00,17.72,5.35,0110-000180-000000
2022-06-28 17:00:00,10.13,4.02,0110-000180-000000
2022-06-28 18:00:00,10.0,4.62,0110-000180-000000
2022-06-28 19:00:00,7.07,3.85,0110-000180-000000
2022-06-28 20:00:00,8.0,4.25,0110-000180-000000
2022-06-28 21:00:00,6.24,3.9,0110-000180-000000
2022-06-28 22:00:00,3.89,2.36,0110-000180-000000
2022-06-29 00:00:00,12.74,5.12,0110-000180-000000
2022-06-29 01:00:00,14.46,5.54,0110-000180-000000
2022-06-29 02:00:00,7.08,3.72,0110-000180-000000
2022-06-29 03:00:00,7.81,3.67,0110-000180-000000
2022-06-29 04:00:00,7.9,4.45,0110-000180-000000
2022-06-29 05:00:00,14.23,4.35,0110-000180-000000
2022-06-29 06:00:00,13.66,4.32,0110-000180-000000
2022-06-29 07:00:00,6.36,3.82,0110-000180-000000
2022-06-29 08:00:00,19.69,5.23,0110-000180-000000
2022-06-29 09:00:00,11.72,4.26,0110-000180-000000
2022-06-29 10:00:00,11.35,2.57,0110-000180-000000
2022-06-29 11:00:00,12.81,4.05,0110-000180-000000
2022-06-29 12:00:00,12.6,4.11,0110-000180-000000
2022-06-29 13:00:00,13.0,2.82,0110-000180-000000
2022-06-29 14:00:00,5.25,2.69,0110-000180-000000
2022-06-29 15:00:00,8.99,3.2,0110-000180-000000
2022-06-29 16:00:00,2.24,1.82,0110-000180-000000
2022-06-29 17:00:00,12.47,2.3,0110-000180-000000
2022-06-29 18:00:00,4.23,1.17,0110-000180-000000
2022-06-29 19:00:00,1.0,0.96,0110-000180-000000
2022-06-29 20:00:00,2.69,1.92,0110-000180-000000
2022-06-29 21:00:00,1.61,1.36,0110-000180-000000
2022-06-29 22:00:00,3.33,2.17,0110-000180-000000
2022-06-30 00:00:00,2.8,2.06,0110-000180-000000
2022-06-30 01:00:00,5.49,2.66,0110-000180-000000
2022-06-30 02:00:00,5.72,3.42,0110-000180-000000
2022-06-30 03:00:00,18.15,4.25,0110-000180-000000
2022-06-30 04:00:00,4.58,2.88,0110-000180-000000
2022-06-30 05:00:00,6.11,3.27,0110-000180-000000
2022-06-30 06:00:00,4.61,3.36,0110-000180-000000
2022-06-30 07:00:00,11.12,4.75,0110-000180-000000
2022-06-30 08:00:00,6.02,3.7,0110-000180-000000
2022-06-30 09:00:00,13.35,4.0,0110-000180-000000
2022-06-30 10:00:00,8.69,3.51,0110-000180-000000
2022-06-30 11:00:00,3.03,2.44,0110-000180-000000
2022-06-30 12:00:00,15.42,3.85,0110-000180-000000
2022-06-30 13:00:00,12.02,4.11,0110-000180-000000
2022-06-30 14:00:00,17.74,5.97,0110-000180-000000
2022-06-30 15:00:00,13.26,4.16,0110-000180-000000
2022-06-30 16:00:00,18.16,4.7,0110-000180-000000
2022-06-30 17:00:00,3.5,2.76,0110-000180-000000
2022-06-30 18:00:00,3.85,2.77,0110-000180-000000
2022-06-30 19:00:00,5.82,2.96,0110-000180-000000
2022-06-30 20:00:00,7.87,2.36,0110-000180-000000
2022-06-30 21:00:00,3.49,2.36,0110-000180-000000
2022-06-30 22:00:00,9.33,3.3,0110-000180-000000
2022-07-01 00:00:00,2.57,1.35,0110-000180-000000
2022-07-01 01:00:00,5.07,1.68,0110-000180-000000
2022-07-01 02:00:00,2.3,1.75,0110-000180-000000
2022-07-01 03:00:00,4.58,2.36,0110-000180-000000
2022-07-01 04:00:00,7.61,2.79,0110-000180-000000
2022-07-01 05:00:00,4.32,3.02,0110-000180-000000
2022-07-01 06:00:00,8.03,4.65,0110-000180-000000
2022-07-01 07:00:00,12.34,5.63,0110-000180-000000
2022-07-01 08:00:00,7.13,3.71,0110-000180-000000
2022-07-01 09:00:00,9.27,4.33,0110-000180-000000
2022-07-01 10:00:00,9.53,3.3,0110-000180-000000
2022-07-01 11:00:00,9.53,3.3,0110-000180-000000
2022-07-01 12:00:00,6.99,2.53,0110-000180-000000
2022-07-01 13:00:00,4.17,2.5,0110-000180-000000
2022-07-01 14:00:00,10.61,3.0,0110-000180-000000
2022-07-01 15:00:00,3.29,1.15,0110-000180-000000
2022-07-01 16:00:00,3.02,1.0,0110-000180-000000
2022-07-01 17:00:00,2.95,1.14,0110-000180-000000
2022-07-01 18:00:00,2.24,1.81,0110-000180-000000
2022-07-01 19:00:00,1.46,1.31,0110-000180-000000
2022-07-01 20:00:00,4.92,1.62,0110-000180-000000
2022-07-01 21:00:00,2.91,1.62,0110-000180-000000
2022-07-01 22:00:00,1.8,1.65,0110-000180-000000
2022-07-01 23:00:00,4.71,2.69,0110-000180-000000
2022-07-02 00:00:00,5.61,2.82,0110-000180-000000
2022-07-02 01:00:00,3.6,2.53,0110-000180-000000
2022-07-02 02:00:00,4.03,2.76,0110-000180-000000
2022-07-02 03:00:00,5.13,2.99,0110-000180-000000
2022-07-02 04:00:00,4.25,2.28,0110-000180-000000
2022-07-02 05:00:00,3.09,1.37,0110-000180-000000
2022-07-02 06:00:00,6.37,2.84,0110-000180-000000
2022-07-02 07:00:00,2.94,1.91,0110-000180-000000
2022-07-02 08:00:00,12.77,3.95,0110-000180-000000
2022-07-02 09:00:00,14.16,4.35,0110-000180-000000
2022-07-02 10:00:00,6.05,2.75,0110-000180-000000
2022-07-02 11:00:00,11.52,3.94,0110-000180-000000
2022-07-02 12:00:00,5.01,2.98,0110-000180-000000
2022-07-02 13:00:00,7.73,1.95,0110-000180-000000
2022-07-02 14:00:00,3.77,2.25,0110-000180-000000
2022-07-02 15:00:00,3.81,1.97,0110-000180-000000
2022-07-02 16:00:00,0.97,0.88,0110-000180-000000
2022-07-02 17:00:00,2.63,1.86,0110-000180-000000
2022-07-02 18:00:00,5.97,1.09,0110-000180-000000
2022-07-02 19:00:00,1.32,1.1,0110-000180-000000
2022-07-02 20:00:00,5.04,2.17,0110-000180-000000
2022-07-02 21:00:00,2.51,1.8,0110-000180-000000
2022-07-02 22:00:00,4.63,2.08,0110-000180-000000
2022-07-02 23:00:00,3.72,1.94,0110-000180-000000
2022-07-03 00:00:00,2.01,1.79,0110-000180-000000
2022-07-03 01:00:00,2.06,1.74,0110-000180-000000
2022-07-03 02:00:00,5.92,3.25,0110-000180-000000
2022-07-03 03:00:00,7.53,3.22,0110-000180-000000
2022-07-03 04:00:00,12.57,4.03,0110-000180-000000
2022-07-03 05:00:00,6.63,2.7,0110-000180-000000
2022-07-03 06:00:00,5.25,3.23,0110-000180-000000
2022-07-03 07:00:00,4.5,2.27,0110-000180-000000
2022-07-03 08:00:00,3.69,1.63,0110-000180-000000
2022-07-03 09:00:00,1.54,1.21,0110-000180-000000
2022-07-03 10:00:00,14.41,2.82,0110-000180-000000
2022-07-03 11:00:00,4.81,2.17,0110-000180-000000
2022-07-03 12:00:00,3.69,2.07,0110-000180-000000
2022-07-03 13:00:00,4.21,1.92,0110-000180-000000
2022-07-03 14:00:00,4.1,1.78,0110-000180-000000
2022-07-03 15:00:00,6.49,2.32,0110-000180-000000
2022-07-03 16:00:00,1.01,0.91,0110-000180-000000
2022-07-03 17:00:00,4.46,1.52,0110-000180-000000
2022-07-03 18:00:00,1.67,1.37,0110-000180-000000
2022-07-03 19:00:00,1.48,1.32,0110-000180-000000
2022-07-03 20:00:00,2.75,1.67,0110-000180-000000
2022-07-03 21:00:00,1.14,0.95,0110-000180-000000
2022-07-03 22:00:00,1.69,1.26,0110-000180-000000
2022-07-03 23:00:00,2.36,1.41,0110-000180-000000
2022-07-04 00:00:00,5.35,1.88,0110-000180-000000
2022-07-04 01:00:00,7.3,2.03,0110-000180-000000
2022-07-04 02:00:00,2.86,1.25,0110-000180-000000
2022-07-04 03:00:00,5.64,1.7,0110-000180-000000
2022-07-04 04:00:00,1.85,1.41,0110-000180-000000
2022-07-04 05:00:00,4.92,2.06,0110-000180-000000
2022-07-04 06:00:00,2.58,1.98,0110-000180-000000
2022-07-04 07:00:00,10.87,3.82,0110-000180-000000
2022-07-04 08:00:00,7.89,2.66,0110-000180-000000
2022-07-04 09:00:00,4.58,1.95,0110-000180-000000
2022-07-04 10:00:00,11.4,3.49,0110-000180-000000
2022-07-04 11:00:00,20.3,4.41,0110-000180-000000
2022-07-04 12:00:00,29.32,5.27,0110-000180-000000
2022-07-04 13:00:00,21.9,4.13,0110-000180-000000
2022-07-04 14:00:00,10.1,4.88,0110-000180-000000
2022-07-04 15:00:00,6.99,2.69,0110-000180-000000
2022-07-04 16:00:00,21.33,4.9,0110-000180-000000
2022-07-04 17:00:00,12.54,4.13,0110-000180-000000
2022-07-04 18:00:00,7.75,4.19,0110-000180-000000
2022-07-04 19:00:00,19.57,4.58,0110-000180-000000
2022-07-04 20:00:00,6.07,3.14,0110-000180-000000
2022-07-04 21:00:00,8.53,3.78,0110-000180-000000
2022-07-04 22:00:00,4.64,3.32,0110-000180-000000
2022-07-04 23:00:00,8.5,4.81,0110-000180-000000
2022-07-05 00:00:00,13.28,6.18,0110-000180-000000
2022-07-05 01:00:00,16.3,8.07,0110-000180-000000
2022-07-05 02:00:00,8.81,5.28,0110-000180-000000
2022-07-05 03:00:00,9.46,4.6,0110-000180-000000
2022-07-05 04:00:00,7.57,4.09,0110-000180-000000
2022-07-05 05:00:00,6.7,3.19,0110-000180-000000
2022-07-05 06:00:00,1.66,1.37,0110-000180-000000
2022-07-05 07:00:00,6.08,1.38,0110-000180-000000
2022-07-05 08:00:00,7.79,1.82,0110-000180-000000
2022-07-05 09:00:00,8.5,2.21,0110-000180-000000
2022-07-05 10:00:00,23.2,4.17,0110-000180-000000
2022-07-05 11:00:00,10.49,3.73,0110-000180-000000
2022-07-05 12:00:00,6.91,2.57,0110-000180-000000
2022-07-05 13:00:00,12.66,2.95,0110-000180-000000
2022-07-05 14:00:00,9.84,5.08,0110-000180-000000
2022-07-05 15:00:00,19.95,7.05,0110-000180-000000
2022-07-05 16:00:00,11.0,4.62,0110-000180-000000
2022-07-05 17:00:00,33.36,7.03,0110-000180-000000
2022-07-05 18:00:00,8.12,3.4,0110-000180-000000
2022-07-05 19:00:00,5.73,3.29,0110-000180-000000
2022-07-05 20:00:00,7.02,3.58,0110-000180-000000
2022-07-05 21:00:00,3.91,3.18,0110-000180-000000
2022-07-05 22:00:00,5.73,4.19,0110-000180-000000
2022-07-05 23:00:00,7.03,3.48,0110-000180-000000
2022-07-06 00:00:00,6.48,3.26,0110-000180-000000
2022-07-06 01:00:00,6.84,3.5,0110-000180-000000
2022-07-06 02:00:00,6.6,2.86,0110-000180-000000
2022-07-06 03:00:00,5.32,3.38,0110-000180-000000
2022-07-06 04:00:00,4.71,3.7,0110-000180-000000
2022-07-06 05:00:00,10.89,4.95,0110-000180-000000
2022-07-06 06:00:00,10.48,3.6,0110-000180-000000
2022-07-06 07:00:00,10.03,3.6,0110-000180-000000
2022-07-06 08:00:00,10.01,3.07,0110-000180-000000
2022-07-06 09:00:00,5.23,2.68,0110-000180-000000
2022-07-06 10:00:00,20.68,4.34,0110-000180-000000
2022-07-06 11:00:00,17.99,4.48,0110-000180-000000
2022-07-06 12:00:00,23.85,6.26,0110-000180-000000
2022-07-06 13:00:00,8.74,3.87,0110-000180-000000
2022-07-06 14:00:00,8.17,2.99,0110-000180-000000
2022-07-06 15:00:00,11.47,2.74,0110-000180-000000
2022-07-06 16:00:00,26.9,5.09,0110-000180-000000
2022-07-06 17:00:00,8.86,4.02,0110-000180-000000
2022-07-06 18:00:00,3.73,2.71,0110-000180-000000
2022-07-06 19:00:00,7.86,4.36,0110-000180-000000
2022-07-06 20:00:00,7.94,3.33,0110-000180-000000
2022-07-06 21:00:00,7.4,3.15,0110-000180-000000
2022-07-06 22:00:00,5.73,3.12,0110-000180-000000
2022-07-06 23:00:00,3.85,2.07,0110-000180-000000
2022-07-07 00:00:00,2.92,2.53,0110-000180-000000
2022-07-07 01:00:00,3.47,2.91,0110-000180-000000
2022-07-07 02:00:00,5.06,2.99,0110-000180-000000
2022-07-07 03:00:00,1.31,1.17,0110-000180-000000
2022-07-07 04:00:00,2.08,1.82,0110-000180-000000
2022-07-07 05:00:00,3.8,1.55,0110-000180-000000
2022-07-07 06:00:00,23.82,3.38,0110-000180-000000
2022-07-07 07:00:00,2.4,0.98,0110-000180-000000
2022-07-07 08:00:00,33.86,4.37,0110-000180-000000
2022-07-07 09:00:00,20.73,5.32,0110-000180-000000
2022-07-07 10:00:00,7.68,2.4,0110-000180-000000
2022-07-07 11:00:00,13.79,3.5,0110-000180-000000
2022-07-07 12:00:00,9.32,3.99,0110-000180-000000
2022-07-07 13:00:00,11.91,4.05,0110-000180-000000
2022-07-07 14:00:00,27.7,5.55,0110-000180-000000
2022-07-07 15:00:00,67.04,13.39,0110-000180-000000
2022-07-07 16:00:00,23.63,6.36,0110-000180-000000
2022-07-07 17:00:00,20.56,5.27,0110-000180-000000
2022-07-07 18:00:00,8.17,2.77,0110-000180-000000
2022-07-07 19:00:00,20.08,3.79,0110-000180-000000
2022-07-07 20:00:00,6.93,2.3,0110-000180-000000
2022-07-07 21:00:00,3.89,2.66,0110-000180-000000
2022-07-07 22:00:00,4.43,3.37,0110-000180-000000
2022-07-07 23:00:00,6.05,3.5,0110-000180-000000
2022-07-08 00:00:00,10.5,3.14,0110-000180-000000
2022-07-08 01:00:00,3.75,3.43,0110-000180-000000
2022-07-08 02:00:00,3.38,2.45,0110-000180-000000
2022-07-08 03:00:00,9.58,3.74,0110-000180-000000
2022-07-08 04:00:00,6.46,4.07,0110-000180-000000
2022-07-08 05:00:00,15.81,4.96,0110-000180-000000
2022-07-08 06:00:00,2.46,2.28,0110-000180-000000
2022-07-08 07:00:00,7.67,2.81,0110-000180-000000
2022-07-08 08:00:00,9.54,2.17,0110-000180-000000
2022-07-08 09:00:00,8.78,4.33,0110-000180-000000
2022-07-08 10:00:00,8.26,4.87,0110-000180-000000
2022-07-08 11:00:00,12.96,5.1,0110-000180-000000
2022-07-08 12:00:00,23.34,6.26,0110-000180-000000
2022-07-08 13:00:00,9.69,4.63,0110-000180-000000
2022-07-08 14:00:00,11.93,5.03,0110-000180-000000
2022-07-08 15:00:00,23.58,5.87,0110-000180-000000
2022-07-08 16:00:00,15.53,6.22,0110-000180-000000
2022-07-08 17:00:00,30.41,8.46,0110-000180-000000
2022-07-08 18:00:00,4.1,3.65,0110-000180-000000
2022-07-08 19:00:00,6.77,3.92,0110-000180-000000
2022-07-08 20:00:00,3.44,3.02,0110-000180-000000
2022-07-08 21:00:00,10.16,3.24,0110-000180-000000
2022-07-08 22:00:00,4.54,2.79,0110-000180-000000
2022-07-08 23:00:00,7.41,3.11,0110-000180-000000
2022-07-09 00:00:00,3.56,2.77,0110-000180-000000
2022-07-09 01:00:00,6.31,2.84,0110-000180-000000
2022-07-09 02:00:00,8.86,3.8,0110-000180-000000
2022-07-09 03:00:00,4.73,3.58,0110-000180-000000
2022-07-09 04:00:00,4.82,3.92,0110-000180-000000
2022-07-09 05:00:00,8.18,3.86,0110-000180-000000
2022-07-09 06:00:00,6.17,2.85,0110-000180-000000
2022-07-09 07:00:00,3.45,2.85,0110-000180-000000
2022-07-09 08:00:00,8.48,2.41,0110-000180-000000
2022-07-09 09:00:00,19.56,4.88,0110-000180-000000
2022-07-09 10:00:00,14.46,3.75,0110-000180-000000
2022-07-09 11:00:00,29.47,5.97,0110-000180-000000
2022-07-09 12:00:00,17.26,4.88,0110-000180-000000
2022-07-09 13:00:00,23.45,6.01,0110-000180-000000
2022-07-09 14:00:00,5.31,3.07,0110-000180-000000
2022-07-09 15:00:00,18.48,3.64,0110-000180-000000
2022-07-09 16:00:00,4.15,2.58,0110-000180-000000
2022-07-09 17:00:00,2.59,2.13,0110-000180-000000
2022-07-09 18:00:00,3.28,2.32,0110-000180-000000
2022-07-09 19:00:00,6.14,2.65,0110-000180-000000
2022-07-09 20:00:00,2.42,2.14,0110-000180-000000
2022-07-09 21:00:00,5.22,3.95,0110-000180-000000
2022-07-09 22:00:00,10.0,4.71,0110-000180-000000
2022-07-24 22:00:00,5.48,2.76,0110-000180-000000
2022-07-24 23:00:00,10.98,3.64,0110-000180-000000
2022-07-25 00:00:00,5.4,3.17,0110-000180-000000
2022-07-25 01:00:00,5.53,3.78,0110-000180-000000
2022-07-25 02:00:00,12.1,4.63,0110-000180-000000
2022-07-25 03:00:00,8.36,3.27,0110-000180-000000
2022-07-25 04:00:00,10.09,4.17,0110-000180-000000
2022-07-25 05:00:00,4.8,2.18,0110-000180-000000
2022-07-25 06:00:00,11.3,3.04,0110-000180-000000
2022-07-25 07:00:00,4.51,2.17,0110-000180-000000
2022-07-25 08:00:00,20.0,2.91,0110-000180-000000
2022-07-25 09:00:00,4.25,2.19,0110-000180-000000
2022-07-25 10:00:00,18.57,3.92,0110-000180-000000
2022-07-25 11:00:00,13.04,3.57,0110-000180-000000
2022-07-25 12:00:00,21.4,3.55,0110-000180-000000
2022-07-25 13:00:00,22.03,3.9,0110-000180-000000
2022-07-25 14:00:00,29.36,4.98,0110-000180-000000
2022-07-25 15:00:00,22.91,3.92,0110-000180-000000
2022-07-25 16:00:00,17.56,4.2,0110-000180-000000
2022-07-25 17:00:00,10.5,3.51,0110-000180-000000
2022-07-25 18:00:00,18.61,4.61,0110-000180-000000
2022-07-25 19:00:00,6.31,3.41,0110-000180-000000
2022-07-25 20:00:00,14.72,3.25,0110-000180-000000
2022-07-25 21:00:00,3.56,2.56,0110-000180-000000
2022-07-25 22:00:00,6.99,3.53,0110-000180-000000
2022-07-25 23:00:00,2.19,1.69,0110-000180-000000
2022-07-26 00:00:00,13.74,3.47,0110-000180-000000
2022-07-26 01:00:00,6.15,2.41,0110-000180-000000
2022-07-26 02:00:00,7.19,2.17,0110-000180-000000
2022-07-26 03:00:00,2.5,2.01,0110-000180-000000
2022-07-26 04:00:00,2.37,1.67,0110-000180-000000
2022-07-26 05:00:00,16.77,3.25,0110-000180-000000
2022-07-26 06:00:00,22.11,4.38,0110-000180-000000
2022-07-26 07:00:00,16.94,4.34,0110-000180-000000
2022-07-26 08:00:00,30.2,6.17,0110-000180-000000
2022-07-26 09:00:00,20.34,5.98,0110-000180-000000
2022-07-26 10:00:00,34.47,4.65,0110-000180-000000
2022-07-26 11:00:00,15.71,4.25,0110-000180-000000
2022-07-26 12:00:00,20.36,4.48,0110-000180-000000
2022-07-26 13:00:00,17.98,4.43,0110-000180-000000
2022-07-26 14:00:00,8.24,3.65,0110-000180-000000
2022-07-26 15:00:00,4.88,2.5,0110-000180-000000
2022-07-26 16:00:00,17.16,3.44,0110-000180-000000
2022-07-26 17:00:00,4.76,1.9,0110-000180-000000
2022-07-26 18:00:00,3.81,2.07,0110-000180-000000
2022-07-26 19:00:00,10.2,2.56,0110-000180-000000
2022-07-26 20:00:00,8.11,2.62,0110-000180-000000
2022-07-26 21:00:00,13.34,5.63,0110-000180-000000
2022-07-26 22:00:00,5.97,3.29,0110-000180-000000
2022-07-26 23:00:00,16.29,4.27,0110-000180-000000
2022-07-27 00:00:00,4.89,3.62,0110-000180-000000
2022-07-27 01:00:00,8.82,4.65,0110-000180-000000
2022-07-27 02:00:00,13.13,4.41,0110-000180-000000
2022-07-27 03:00:00,7.52,4.68,0110-000180-000000
2022-07-27 04:00:00,16.34,7.07,0110-000180-000000
2022-07-27 05:00:00,19.42,13.86,0110-000180-000000
2022-07-27 06:00:00,6.93,4.51,0110-000180-000000
2022-07-27 07:00:00,14.27,5.72,0110-000180-000000
2022-07-27 08:00:00,6.74,2.74,0110-000180-000000
2022-07-27 09:00:00,5.58,2.58,0110-000180-000000
2022-07-27 10:00:00,7.02,2.43,0110-000180-000000
2022-07-27 11:00:00,2.94,2.19,0110-000180-000000
2022-07-27 12:00:00,1.75,1.54,0110-000180-000000
2022-07-27 13:00:00,5.75,2.81,0110-000180-000000
2022-07-27 14:00:00,3.24,2.24,0110-000180-000000
2022-07-27 15:00:00,2.78,2.37,0110-000180-000000
2022-07-27 16:00:00,3.35,1.91,0110-000180-000000
2022-07-27 17:00:00,1.68,1.35,0110-000180-000000
2022-07-27 18:00:00,5.4,1.61,0110-000180-000000
2022-07-27 19:00:00,2.32,1.97,0110-000180-000000
2022-07-27 20:00:00,2.92,2.53,0110-000180-000000
2022-07-27 21:00:00,1.89,1.66,0110-000180-000000
2022-07-27 22:00:00,3.44,2.68,0110-000180-000000
2022-07-27 23:00:00,4.52,2.88,0110-000180-000000
2022-07-28 00:00:00,6.07,3.25,0110-000180-000000
2022-07-28 01:00:00,3.37,2.81,0110-000180-000000
2022-07-28 02:00:00,9.43,3.56,0110-000180-000000
2022-07-28 03:00:00,4.62,3.7,0110-000180-000000
2022-07-28 04:00:00,4.24,3.27,0110-000180-000000
2022-07-28 05:00:00,5.62,3.51,0110-000180-000000
2022-07-28 06:00:00,6.31,3.54,0110-000180-000000
2022-07-28 07:00:00,10.11,3.59,0110-000180-000000
2022-07-28 08:00:00,3.57,2.26,0110-000180-000000
2022-07-28 09:00:00,3.71,2.25,0110-000180-000000
2022-07-28 10:00:00,8.52,3.54,0110-000180-000000
2022-07-28 11:00:00,4.56,3.55,0110-000180-000000
